id,name,food_group,food_subgroup
154,Garden rhubarb,Vegetables,Stalk vegetables
155,Blackcurrant,Fruits,Berries
156,Redcurrant,Fruits,Berries
157,Gooseberry,Fruits,Berries
158,Watercress,Herbs and Spices,Herbs
159,Rosemary,Herbs and Spices,Herbs
160,"Rubus (Blackberry, Raspberry)",Fruits,Berries
161,Cloudberry,Fruits,Berries
162,Red raspberry,Fruits,Berries
163,Black raspberry,Fruits,Berries
164,Sorrel,Herbs and Spices,Herbs
165,Common sage,Herbs and Spices,Herbs
166,Black elderberry,Fruits,Berries
167,Summer savory,Herbs and Spices,Herbs
168,Winter savory,Herbs and Spices,Herbs
169,Rye,Cereals and cereal products,Cereals
170,Sesame,Herbs and Spices,Oilseed crops
171,Garden tomato,Vegetables,Fruit vegetables
172,Cherry tomato,Vegetables,Fruit vegetables
173,Garden tomato (var.),Vegetables,Fruit vegetables
174,Eggplant,Vegetables,Fruit vegetables
175,Potato,Vegetables,Tubers
176,Rowanberry,Fruits,Berries
177,Sorghum,Cereals and cereal products,Cereals
178,Spinach,Vegetables,Leaf vegetables
179,Cloves,Herbs and Spices,Spices
180,Tamarind,Fruits,Tropical fruits
181,Dandelion,Herbs and Spices,Herbs
182,Cocoa bean,Cocoa and cocoa products,Cocoa
183,Common thyme,Herbs and Spices,Herbs
184,Linden,Herbs and Spices,Herbs
185,Small-leaf linden,Herbs and Spices,Herbs
186,Fenugreek,Herbs and Spices,Herbs
187,Common wheat,Cereals and cereal products,Cereals
188,"Vaccinium (Blueberry, Cranberry, Huckleberry)",Fruits,Berries
189,Lowbush blueberry,Fruits,Berries
190,Sparkleberry,Fruits,Berries
191,Highbush blueberry,Fruits,Berries
192,American cranberry,Fruits,Berries
193,Bilberry,Fruits,Berries
194,Lingonberry,Fruits,Berries
195,Vanilla,Herbs and Spices,Spices
196,Common verbena,Herbs and Spices,Herbs
197,Broad bean,Pulses,Beans
198,Adzuki bean,Pulses,Beans
199,Gram bean,Pulses,Beans
200,Mung bean,Pulses,Beans
201,Climbing bean,Pulses,Beans
202,Cowpea,Pulses,Peas
203,Muscadine grape,Fruits,Berries
204,Common grape,Fruits,Berries
205,Corn,Cereals and cereal products,Cereals
206,Ginger,Herbs and Spices,Spices
207,Arctic blackberry,Fruits,Berries
208,Banana,Fruits,Tropical fruits
209,Bayberry,Fruits,Berries
210,Elliott's blueberry,Fruits,Berries
211,Canada blueberry,Fruits,Berries
212,Bog bilberry,Fruits,Berries
213,Buffalo currant,Fruits,Berries
214,Celeriac,Vegetables,Root vegetables
215,Celery stalks,Vegetables,Stalk vegetables
216,Chinese chives,Herbs and Spices,Herbs
217,European cranberry,Fruits,Berries
218,Deerberry,Fruits,Berries
219,Ginseng,Herbs and Spices,Spices
220,Cascade huckleberry,Fruits,Berries
221,Oval-leaf huckleberry,Fruits,Berries
222,Evergreen huckleberry,Fruits,Berries
223,Red huckleberry,Fruits,Berries
224,Longan,Fruits,Tropical fruits
225,Macadamia nut (M. tetraphylla),Nuts,Nuts
226,Garden onion (var.),Vegetables,Onion-family vegetables
227,Summer grape,Fruits,Berries
228,Fox grape,Fruits,Berries
229,Nectarine,Fruits,Drupes
230,Peach (var.),Fruits,Drupes
231,Pepper (C. baccatum),Vegetables,Fruit vegetables
232,Pepper (C. chinense),Vegetables,Fruit vegetables
233,Pepper (Capsicum),Vegetables,Fruit vegetables
234,Rambutan,Fruits,Tropical fruits
235,Red rice,Cereals and cereal products,Cereals
236,Annual wild rice,Cereals and cereal products,Cereals
237,Swiss chard,Vegetables,Leaf vegetables
238,Lemon thyme,Herbs and Spices,Herbs
239,Tronchuda cabbage,Vegetables,Cabbages
240,Japanese walnut,Nuts,Nuts
241,Welsh onion,Herbs and Spices,Herbs
242,Hard wheat,Cereals and cereal products,Cereals
243,Shallot,Vegetables,Onion-family vegetables
244,Rocket salad,Vegetables,Leaf vegetables
245,Carrot,Vegetables,Root vegetables
246,Triticale,Cereals and cereal products,Cereals
247,Black cabbage,Vegetables,Cabbages
248,Half-highbush blueberry,Fruits,Berries
249,Celery leaves,Herbs and Spices,Herbs
250,Chicory leaves,Vegetables,Leaf vegetables
251,Komatsuna,Vegetables,Cabbages
252,Pak choy,Vegetables,Cabbages
253,Napa cabbage,Vegetables,Cabbages
254,Chicory roots,Vegetables,Root vegetables
255,Grapefruit/Pummelo hybrid,Fruits,Citrus
256,Grapefruit,Fruits,Citrus
257,Jostaberry,Fruits,Berries
258,Kai-lan,Vegetables,Cabbages
259,Italian oregano,Herbs and Spices,Herbs
260,Oxheart cabbage,Vegetables,Cabbages
261,Daikon radish,Vegetables,Root vegetables
262,Black radish,Vegetables,Root vegetables
263,Radish (var.),Vegetables,Root vegetables
264,Red beetroot,Vegetables,Root vegetables
265,Sweet rowanberry,Fruits,Berries
266,Pineappple sage,Herbs and Spices,Herbs
267,Skunk currant,Fruits,Berries
268,Beer,Beverages,Fermented beverages
269,Other bread,Cereals and cereal products,Other breads
270,Breakfast cereal,Cereals and cereal products,Cereal products
272,Other soy product,Soy,Soy products
273,Other cereal product,Cereals and cereal products,Cereal products
274,Pasta,Cereals and cereal products,Cereal products
275,Biscuit,Cereals and cereal products,Cereal products
276,Sourdough,Cereals and cereal products,Doughs
277,Spirit,Beverages,Distilled beverages
278,Fortified wine,Beverages,Fortified wines
279,Other alcoholic beverage,Beverages,Alcoholic beverages
280,Abalone,Aquatic foods,Mollusks
281,Abiyuch,Fruits,Tropical fruits
282,Acerola,Fruits,Tropical fruits
283,Acorn,Nuts,Nuts
284,Winter squash,Gourds,Gourds
285,Agar,Aquatic foods,Seaweed
286,Red king crab,Aquatic foods,Crustaceans
287,Alfalfa,Herbs and Spices,Herbs
288,Allspice,Herbs and Spices,Spices
289,Amaranth,Herbs and Spices,Herbs
290,Arrowhead,Vegetables,Tubers
291,Arrowroot,Vegetables,Tubers
292,Asian pear,Fruits,Pomes
293,Atlantic herring,Aquatic foods,Fishes
294,Atlantic mackerel,Aquatic foods,Fishes
295,Painted comber,Aquatic foods,Fishes
296,Atlantic pollock,Aquatic foods,Fishes
297,Atlantic wolffish,Aquatic foods,Fishes
298,Bamboo shoots,Vegetables,Shoot vegetables
299,Striped bass,Aquatic foods,Fishes
300,Beaver,Animal foods,Rodents
301,Beech nut,Nuts,Nuts
302,Beluga whale,Aquatic foods,Cetaceans
303,Bison,Animal foods,Bovines
304,Black bear,Animal foods,Other mammals
305,Alaska blackfish,Aquatic foods,Fishes
306,Blue crab,Aquatic foods,Crustaceans
307,Blue mussel,Aquatic foods,Mollusks
308,Northern bluefin tuna,Aquatic foods,Fishes
309,Bluefish,Aquatic foods,Fishes
310,Wild boar,Animal foods,Swine
311,Bowhead whale,Aquatic foods,Cetaceans
312,Breadfruit,Fruits,Tropical fruits
313,Breadnut tree seed,Herbs and Spices,Other seeds
314,Rapini,Vegetables,Cabbages
315,Brown bear,Animal foods,Other mammals
316,Buffalo,Animal foods,Bovines
317,Burbot,Aquatic foods,Fishes
318,Giant butterbur,Vegetables,Other vegetables
319,American butterfish,Aquatic foods,Fishes
320,Butternut,Nuts,Nuts
321,Butternut squash,Gourds,Gourds
322,Calabash,Gourds,Gourds
323,Cardoon,Vegetables,Shoot vegetables
324,Caribou,Animal foods,Venison
325,Natal plum,Fruits,Tropical fruits
326,Carob,Vegetables,Other vegetables
327,Common carp,Aquatic foods,Fishes
328,Cassava,Vegetables,Tubers
329,Channel catfish,Aquatic foods,Fishes
330,Chayote,Gourds,Gourds
331,Cherimoya,Fruits,Tropical fruits
332,Chervil,Herbs and Spices,Spices
